0:1,12,23,34,45,
1:0,12,23,34,45,
2:89,3,78,4,67,
3:2,4,89,5,78,
4:3,5,2,6,89,
5:4,6,7,3,2,
6:7,5,8,4,9,
7:6,8,9,5,10,
8:9,7,10,6,11,
9:10,8,11,7,13,
10:9,11,13,8,14,
11:13,10,14,9,15,
12:1,23,0,34,45,
13:11,14,15,10,16,
14:15,13,16,11,17,
15:16,14,17,13,18,
16:17,15,18,14,19,
17:18,16,19,15,20,
18:19,17,20,16,21,
19:20,18,21,17,22,
20:21,19,22,18,24,
21:22,20,24,19,25,
22:24,21,25,20,26,
23:12,34,1,0,45,
24:25,22,26,21,27,
25:26,24,27,22,28,
26:27,25,28,24,29,
27:28,26,29,25,30,
28:29,27,30,26,31,
29:30,28,31,27,32,
30:29,31,32,28,33,
31:32,30,33,29,35,
32:31,33,30,35,29,
33:32,35,31,36,30,
34:23,45,12,56,1,
35:33,36,32,31,30,
36:35,37,33,32,38,
37:38,36,39,35,33,
38:39,37,40,36,41,
39:40,38,41,37,42,
40:41,39,42,38,43,
41:42,40,43,39,44,
42:43,41,44,40,46,
43:44,42,46,41,47,
44:46,43,47,42,48,
45:34,56,23,67,12,
46:47,44,48,43,49,
47:48,46,49,44,50,
48:49,47,50,46,51,
49:50,48,51,47,52,
50:51,49,52,48,53,
51:52,50,53,49,54,
52:53,51,54,50,55,
53:54,52,55,51,57,
54:55,53,57,52,58,
55:54,57,58,53,59,
56:45,67,34,78,23,
57:58,55,59,54,60,
58:59,57,60,55,61,
59:60,58,61,57,62,
60:61,59,62,58,63,
61:62,60,63,59,64,
62:63,61,64,60,65,
63:64,62,65,61,66,
64:65,63,66,62,68,
65:66,64,68,63,69,
66:65,68,69,64,70,
67:56,78,45,89,34,
68:69,66,70,65,71,
69:70,68,71,66,72,
70:71,69,72,68,73,
71:70,72,73,69,74,
72:73,71,74,70,75,
73:74,72,75,71,76,
74:75,73,76,72,77,
75:76,74,77,73,79,
76:77,75,79,74,80,
77:79,76,80,75,81,
78:89,67,56,2,45,
79:80,77,81,76,82,
80:81,79,82,77,83,
81:82,80,83,79,84,
82:81,83,84,80,85,
83:84,82,85,81,86,
84:85,83,86,82,87,
85:86,84,87,83,88,
86:87,85,88,84,90,
87:88,86,90,85,91,
88:90,87,91,86,92,
89:78,2,67,3,56,
90:88,91,92,87,93,
91:92,90,93,88,94,
92:93,91,94,90,95,
93:94,92,95,91,96,
94:93,95,96,92,97,
95:96,94,97,93,98,
96:97,95,98,94,99,
97:98,96,99,95,94,
98:99,97,96,95,94,
99:98,97,96,95,94,
100:184,150,123,135,119,
101:123,160,118,100,150,
102:107,108,122,16,15,
103:128,129,125,189,113,
104:115,112,127,110,126,
105:120,178,124,167,132,
106:117,142,113,189,129,
107:102,108,122,125,103,
108:122,107,102,125,103,
109:130,189,113,117,129,
110:111,131,116,114,145,
111:110,131,114,116,145,
112:115,126,104,127,167,
113:189,117,129,106,109,
114:132,131,111,116,167,
115:112,126,127,104,134,
116:145,111,131,110,114,
117:113,189,106,129,109,
118:123,101,100,184,150,
119:156,135,116,133,145,
120:178,105,167,124,134,
121:145,116,133,132,114,
122:108,107,125,102,128,
123:101,100,118,150,184,
124:178,120,105,134,167,
125:128,103,129,142,122,
126:115,127,134,112,104,
127:126,115,112,104,134,
128:103,129,125,189,113,
129:189,113,103,128,117,
130:109,189,113,117,129,
131:114,111,132,110,116,
132:114,131,167,111,145,
133:121,135,145,119,116,
134:126,127,115,178,112,
135:150,133,119,100,156,
136:158,146,139,196,140,
137:179,173,148,159,163,
138:152,171,147,165,198,
139:158,146,136,196,149,
140:197,136,158,180,182,
141:144,193,199,168,159,
142:106,129,117,113,189,
143:192,165,138,147,152,
144:141,193,199,164,168,
145:116,121,111,131,114,
146:139,158,136,196,149,
147:152,171,138,190,198,
148:163,182,173,137,197,
149:175,196,177,183,188,
150:100,135,184,119,123,
151:155,157,169,192,147,
152:171,147,138,198,190,
153:181,195,154,170,199,
154:170,181,153,199,195,
155:151,157,192,147,169,
156:119,116,110,145,111,
157:151,169,155,186,176,
158:136,139,146,196,149,
159:179,137,173,124,141,
160:101,161,123,135,150,
161:133,160,135,194,249,
162:176,186,180,157,151,
163:182,148,173,197,180,
164:174,193,144,199,166,
165:138,143,152,171,147,
166:174,144,164,141,168,
167:120,132,105,178,114,
168:141,144,105,249,159,
169:157,151,155,188,186,
170:181,165,138,198,171,
171:152,198,147,138,190,
172:137,134,179,124,148,
173:137,179,163,148,182,
174:166,164,144,193,141,
175:149,196,177,183,188,
176:162,186,157,151,180,
177:183,188,186,175,169,
178:120,124,105,167,134,
179:137,173,159,148,163,
180:162,197,176,186,177,
181:153,170,154,195,165,
182:163,148,197,180,173,
183:188,177,186,169,175,
184:100,150,135,123,119,
185:194,323,249,166,220,
186:177,188,183,176,162,
187:212,160,323,101,161,
188:183,177,186,169,157,
189:113,117,129,106,109,
190:171,198,147,152,138,
191:364,276,376,349,370,
192:143,155,147,151,138,
193:199,144,141,164,195,
194:249,161,185,168,133,
195:153,181,199,154,170,
196:149,175,177,183,188,
197:180,162,176,182,186,
198:171,152,190,138,147,
199:193,195,154,141,144,
200:241,391,230,379,363,
201:326,256,253,290,268,
202:251,293,394,247,382,
203:285,209,239,262,252,
204:322,222,272,288,396,
205:322,373,233,346,288,
206:397,329,307,232,333,
207:208,236,339,335,254,
208:339,207,335,236,327,
209:239,285,262,395,203,
210:352,245,321,295,360,
