strain stress
0.0 0.0
0.26206363201294924 0.0
0.5241272640258985 1.0726377817814998
0.7861908960388477 1.1166439961680052
1.048254528051797 1.1602879170788831
1.3103181600647462 1.2034930648192317
1.5723817920776955 1.2417837021632931
1.8344454240906447 1.277571803420935
2.096509056103594 1.3102764663423467
2.358572688116543 1.3393529673291005
2.6206363201294924 1.3671261155324557
2.882699952142442 1.3914422892642122
3.144763584155391 1.4150911204176588
3.40682721616834 1.4363138650464087
3.6688908481812894 1.456545526689674
3.930954480194239 1.4759134598603345
4.193018112207188 1.4933116321943691
4.455081744220137 1.5107098045284038
4.717145376233086 1.526743697392767
4.979209008246036 1.5417630338513166
5.241272640258985 1.5567823703098662
5.503336272271934 1.570872281900005
5.765399904284884 1.5838835726689653
6.027463536297833 1.5968948634379254
6.289527168310782 1.6099061542068858
6.551590800323731 1.6213603592062638
6.81365443233668 1.6326702190014641
7.07571806434963 1.6439800787966647
7.337781696362579 1.6552899385918654
7.599845328375528 1.6653400169388959
7.861908960388478 1.6751974563081904
8.123972592401426 1.6850548956774847
8.386036224414376 1.6949123350467792
8.648099856427326 1.704458106170567
8.910163488440274 1.7130716056830788
9.172227120453224 1.7216851051955906
9.434290752466172 1.7302986047081024
9.696354384479122 1.7389121042206142
9.958418016492072 1.747525603733126
10.22048164850502 1.755082280818765
10.48254528051797 1.7626272477409082
10.74460891253092 1.7701722146630514
11.006672544543868 1.7777171815851947
11.268736176556818 1.7852621485073379
11.530799808569768 1.7928071154294811
11.792863440582716 1.7994310217273484
12.054927072595666 1.8060545757532305
12.316990704608614 1.8126781297791126
12.579054336621564 1.8193016838049947
12.841117968634514 1.8259252378308768
13.103181600647462 1.832548791856759
13.365245232660412 1.839020359825573
13.62730886467336 1.8448464399783961
13.88937249668631 1.850672520131219
14.15143612869926 1.8564986002840422
14.413499760712208 1.8623246804368654
14.675563392725158 1.8681507605896883
14.937627024738108 1.8739768407425115
15.199690656751056 1.8798029208953346
15.461754288764006 1.8853098758150477
15.723817920776956 1.890444528499607
15.985881552789904 1.895579181184166
16.24794518480285 1.9007138338687253
16.5100088168158 1.9058484865532843
16.77207244882875 1.9109831392378436
17.0341360808417 1.9161177919224026
17.29619971285465 1.9212524446069619
17.558263344867598 1.926387097291521
17.820326976880548 1.9311014846718568
18.082390608893498 1.9356370073815736
18.344454240906447 1.9401725300912902
18.606517872919397 1.944708052801007
18.868581504932344 1.9492435755107238
19.130645136945294 1.9537790982204406
19.392708768958244 1.9583146209301572
19.654772400971193 1.962850143639874
19.916836032984143 1.9673856663495908
20.178899664997093 1.9719211890593076
20.44096329701004 1.9760445933513804
20.70302692902299 1.9800575208499023
20.96509056103594 1.9840704483484242
21.22715419304889 1.9880833758469458
21.48921782506184 1.9920963033454677
21.751281457074786 1.9961092308439896
22.013345089087736 2.0001221583425113
22.275408721100685 2.004135085841033
22.537472353113635 2.008148013339555
22.799535985126585 2.012160940838077
23.061599617139535 2.016173868336599
23.32366324915248 2.019918321124041
23.58572688116543 2.023476046895923
23.84779051317838 2.0270337726678056
24.10985414519133 2.0305914984396876
24.37191777720428 2.03414922421157
24.633981409217228 2.0377069499834524
24.896045041230177 2.0412646757553348
25.158108673243127 2.0448224015272167
25.420172305256077 2.048380127299099
25.682235937269027 2.0519378530709815
25.944299569281974 2.0554955788428635
26.206363201294923 2.059053304614746
26.468426833307873 2.0626110303866283
26.730490465320823 2.065787231525558
26.992554097333773 2.068946759257996
27.25461772934672 2.0721062869904334
27.51668136135967 2.0752658147228713
27.77874499337262 2.078425342455309
28.04080862538557 2.081584870187747
28.30287225739852 2.084744397920185
28.56493588941147 2.087903925652623
28.826999521424415 2.0910634533850603
29.089063153437365 2.094222981117498
29.351126785450315 2.097382508849936
29.613190417463265 2.100542036582374
29.875254049476215 2.103701564314812
30.13731768148916 2.1068610920472497
30.39938131350211 2.1097646291800505
30.66144494551506 2.1125756252806047
30.92350857752801 2.1153866213811585
31.18557220954096 2.1181976174817128
31.44763584155391 2.121008613582267
31.709699473566857 2.1238196096828212
31.971763105579807 2.126630605783375
32.23382673759276 2.1294416018839293
32.4958903696057 2.1322525979844835
32.75795400161866 2.1350635940850373
33.0200176336316 2.1378745901855916
33.28208126564456 2.140685586286146
33.5441448976575 2.1434965823867
33.80620852967045 2.146307578487254
34.0682721616834 2.149118574587808
34.33033579369635 2.1519295706883623
34.5923994257093 2.154512972654964
34.85446305772225 2.157017943506079
35.116526689735196 2.1595229143571935
35.37859032174815 2.1620278852083077
35.640653953761095 2.1645328560594224
35.90271758577405 2.167037826910537
36.164781217786995 2.1695427977616513
36.42684484979994 2.172047768612766
36.688908481812895 2.17455273946388
36.95097211382584 2.177057710314995
37.213035745838795 2.1795626811661095
37.47509937785174 2.1820676520172237
37.73716300986469 2.1845726228683384
37.99922664187764 2.187077593719453
38.26129027389059 2.1895825645705673
38.52335390590354 2.192087535421682
38.78541753791649 2.1945925062727967
39.04748116992944 2.197097477123911
39.30954480194239 2.1993888618573187
39.57160843395533 2.2016253052458516
39.83367206596829 2.203861748634385
40.09573569798123 2.2060981920229183
40.35779932999419 2.2083346354114517
40.61986296200713 2.210571078799985
40.88192659402008 2.2128075221885184
41.14399022603303 2.2150439655770517
41.40605385804598 2.2172804089655846
41.66811749005893 2.219516852354118
41.93018112207188 2.2217532957426513
42.192244754084825 2.2239897391311847
42.45430838609778 2.226226182519718
42.716372018110725 2.2284626259082514
42.97843565012368 2.2306990692967847
43.240499282136625 2.2329355126853176
43.50256291414957 2.235171956073851
