sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
uniax_tension_neohookean_dp74,0.5880292220858759,0.00021787079887239838,22.4401,6.52608,nh
uniax_tension_neohookean_dp75,0.5694348102926842,5.7261518510268283e-05,22.8434,6.52608,nh
uniax_tension_neohookean_dp76,0.5513525184360147,0.0,23.2466,6.52608,nh
uniax_tension_neohookean_dp77,0.533302843837152,0.0,23.6499,6.52608,nh
uniax_tension_neohookean_dp78,0.5161015853869154,0.0002192623158926214,24.0532,6.52608,nh
uniax_tension_neohookean_dp79,0.5013044457319414,4.946785564309647e-05,24.4564,6.52608,nh
uniax_tension_neohookean_dp8,5.753086281025855,0.0,4.09775,6.52608,nh
uniax_tension_neohookean_dp80,0.4855930485049369,0.0,24.8597,6.52608,nh
uniax_tension_neohookean_dp81,0.4707284021839322,0.0,25.263,6.52608,nh
uniax_tension_neohookean_dp82,0.45639732488047025,0.0004941948127294046,25.6663,6.52608,nh
uniax_tension_neohookean_dp83,0.44403230039175956,0.0,26.0695,6.52608,nh
uniax_tension_neohookean_dp84,0.4308745046654141,0.0,26.4728,6.52608,nh
uniax_tension_neohookean_dp85,0.4182840992082459,0.00024285469576932478,26.8761,6.52608,nh
uniax_tension_neohookean_dp86,0.40750760035068045,0.0,27.2793,6.52608,nh
uniax_tension_neohookean_dp87,0.3959049053971997,0.0,27.6826,6.52608,nh
uniax_tension_neohookean_dp88,0.38478392380690046,0.0,28.0859,6.52608,nh
uniax_tension_neohookean_dp89,0.37458879095536485,0.0,28.4891,6.52608,nh
uniax_tension_neohookean_dp9,5.649211062218858,0.0,4.2441,6.52608,nh
uniax_tension_neohookean_dp90,0.3648783898450734,0.0,28.8924,6.52608,nh
uniax_tension_neohookean_dp91,0.3550131645509575,0.0,29.2957,6.52608,nh
uniax_tension_neohookean_dp92,0.3456181204921143,0.0,29.699,6.52608,nh
uniax_tension_neohookean_dp93,0.3369108328913725,0.0,30.1022,6.52608,nh
uniax_tension_neohookean_dp94,0.3286017680027838,0.0,30.5055,6.52608,nh
uniax_tension_neohookean_dp95,0.32014469554189023,0.0,30.9088,6.52608,nh
uniax_tension_neohookean_dp96,0.312365419898872,0.0,31.312,6.52608,nh
uniax_tension_neohookean_dp97,0.3050014022748555,0.0,31.7153,6.52608,nh
uniax_tension_neohookean_dp98,0.29742360749165453,0.0,32.1186,6.52608,nh
uniax_tension_neohookean_dp99,0.29012166231497055,0.0,32.5219,6.52608,nh
uniax_tension_mooneyrivlin_dp0,2.250721839579292,0.00016631298529791802,13.7103,6.89744,mr
uniax_tension_mooneyrivlin_dp1,2.250721839579292,0.00016631298529791802,13.7103,6.89744,mr
uniax_tension_mooneyrivlin_dp10,4.5543477579624705,0.0,7.9825,6.84591,mr
