sample_name,total_curvature,curvature_ratio,final_strain,final_stress,class
biax_tension_neohookean_dp73,0.459285235052401,0.00022888977794607512,26.7995,7.82471,nh
biax_tension_neohookean_dp74,0.4435860217650545,0.0,27.29,7.82471,nh
biax_tension_neohookean_dp75,0.42913867836459,0.0,27.7804,7.82471,nh
biax_tension_neohookean_dp76,0.41537067687058626,4.5049555846483236e-07,28.2708,7.82471,nh
biax_tension_neohookean_dp77,0.40169421874217437,1.8774752968825755e-05,28.7613,7.82471,nh
biax_tension_neohookean_dp78,0.3891901213798475,0.00010934692668882722,29.2517,7.82471,nh
biax_tension_neohookean_dp79,0.37724986326338106,0.00014881499377744474,29.7421,7.82471,nh
biax_tension_neohookean_dp8,4.3732828749217685,9.232105964224772e-05,4.98339,7.82471,nh
biax_tension_neohookean_dp80,0.36584351122948033,0.0,30.2325,7.82471,nh
biax_tension_neohookean_dp81,0.3545709666506635,8.871296523644494e-05,30.723,7.82471,nh
biax_tension_neohookean_dp82,0.34414966172561423,0.0,31.2134,7.82471,nh
biax_tension_neohookean_dp83,0.3341736018467564,0.0,31.7038,7.82471,nh
biax_tension_neohookean_dp84,0.3242193793830437,0.0006265572061298619,32.1943,7.82471,nh
biax_tension_neohookean_dp85,0.3155356049394104,1.0961258204619262e-05,32.6847,7.82471,nh
biax_tension_neohookean_dp86,0.3067525789896403,0.00016489820693443797,33.1751,7.82471,nh
biax_tension_neohookean_dp87,0.29832345784372727,0.0,33.6655,7.82471,nh
biax_tension_neohookean_dp88,0.28996273466244904,0.0,34.156,7.82471,nh
biax_tension_neohookean_dp89,0.28220199829902465,0.0,34.6464,7.82471,nh
biax_tension_neohookean_dp9,4.295998057677922,0.0,5.16136,7.82471,nh
biax_tension_neohookean_dp90,0.274744432846618,0.0,35.1368,7.82471,nh
biax_tension_neohookean_dp91,0.2672763220792273,1.8212815240827138e-05,35.6273,7.82471,nh
biax_tension_neohookean_dp92,0.26039135073395314,0.0,36.1177,7.82471,nh
biax_tension_neohookean_dp93,0.253767290880767,0.0,36.6081,7.82471,nh
biax_tension_neohookean_dp94,0.24738806034045688,5.332678024527576e-05,37.0985,7.82471,nh
biax_tension_neohookean_dp95,0.24103877147953925,0.00014874275391885602,37.589,7.82471,nh
biax_tension_neohookean_dp96,0.235124991685445,8.965338688026695e-05,38.0794,7.82471,nh
biax_tension_neohookean_dp97,0.22942365989598662,0.0,38.5698,7.82471,nh
biax_tension_neohookean_dp98,0.2239704544955951,6.115541793264596e-06,39.0603,7.82471,nh
biax_tension_neohookean_dp99,0.21866476911610738,0.0,39.5507,7.82471,nh
biax_tension_mooneyrivlin_dp0,1.393490140430251,0.0005657512005568312,17.3709,8.61418,mr
biax_tension_mooneyrivlin_dp1,1.5499594110637709,0.0013042649008131828,17.1163,8.83279,mr
biax_tension_mooneyrivlin_dp10,3.1828308130810137,0.0001439667093824003,9.97535,8.72306,mr
biax_tension_mooneyrivlin_dp11,2.5094964759013516,0.003362601252195303,12.7617,8.9929,mr
biax_tension_mooneyrivlin_dp12,0.9654808971191569,0.0006166114161411047,20.0767,8.34131,mr
biax_tension_mooneyrivlin_dp13,0.7900168538243036,0.0006815808869435923,24.3971,8.65081,mr
biax_tension_mooneyrivlin_dp14,2.190427788530574,0.0012114056687264525,14.1941,9.02516,mr
biax_tension_mooneyrivlin_dp15,3.04363579620631,0.00019447869452216473,10.3048,8.70088,mr
biax_tension_mooneyrivlin_dp16,3.0366299443716,0.0031492984339329174,10.9096,8.95547,mr
biax_tension_mooneyrivlin_dp17,2.3884462137892455,0.0011753665904607766,12.1445,8.61008,mr
biax_tension_mooneyrivlin_dp18,1.037610265710574,0.0002600507020250812,19.9862,8.47629,mr
biax_tension_mooneyrivlin_dp19,1.0183896795395113,0.0008098968112060426,20.3976,8.51289,mr
biax_tension_mooneyrivlin_dp2,0.9057833417632339,0.0007097743379224762,21.2714,8.41796,mr
biax_tension_mooneyrivlin_dp20,2.323584486746274,0.0028636222077604023,13.19,8.88331,mr
biax_tension_mooneyrivlin_dp21,0.9650614959269246,0.001297685023729144,21.3805,8.5781,mr
biax_tension_mooneyrivlin_dp22,0.8933763126880051,0.0004733897846281048,21.2132,8.38067,mr
biax_tension_mooneyrivlin_dp23,1.060109410242192,0.0014286337739369285,20.3646,8.59899,mr
biax_tension_mooneyrivlin_dp24,2.280798606590077,0.0003646171954084588,13.3848,8.87969,mr
biax_tension_mooneyrivlin_dp25,1.6232159391173695,0.0006005478171659356,15.6612,8.57969,mr
biax_tension_mooneyrivlin_dp26,1.194067104778039,0.000209935790156542,18.9103,8.58008,mr
biax_tension_mooneyrivlin_dp27,0.7970498597284722,0.00014223704043900504,23.7896,8.56813,mr
biax_tension_mooneyrivlin_dp28,1.043996691013419,0.0007502293330211237,21.2985,8.74653,mr
biax_tension_mooneyrivlin_dp29,2.9816226635737575,0.0013637398035264414,11.5471,9.14845,mr
biax_tension_mooneyrivlin_dp3,1.5137968878821206,0.001084430805639877,16.8802,8.70787,mr
biax_tension_mooneyrivlin_dp30,0.7235872527059016,0.00015460248125366048,25.0304,8.55618,mr
biax_tension_mooneyrivlin_dp31,2.633048714153009,0.0010424495253663613,12.8971,9.20699,mr
biax_tension_mooneyrivlin_dp32,0.8435353176590143,0.00029801199845635735,21.8344,8.36576,mr
biax_tension_mooneyrivlin_dp33,0.869790433745912,0.00035528497973926425,21.0545,8.29873,mr
biax_tension_mooneyrivlin_dp34,2.502953186528306,0.0021751345144982994,12.9651,9.0465,mr
biax_tension_mooneyrivlin_dp35,2.403474018535532,0.0030198334381063047,13.1518,8.98201,mr
biax_tension_mooneyrivlin_dp36,2.386760326209075,0.001957607425878176,12.1141,8.60187,mr
biax_tension_mooneyrivlin_dp37,0.9837584092476517,0.0007737962073669205,21.0023,8.54902,mr
biax_tension_mooneyrivlin_dp38,0.9485337759778809,0.001257721723937401,21.7579,8.6063,mr
biax_tension_mooneyrivlin_dp39,1.1495846207071054,0.0005423311114648051,20.2791,8.77707,mr
biax_tension_mooneyrivlin_dp4,0.774333043433904,0.00033719023196647534,22.8778,8.36131,mr
biax_tension_mooneyrivlin_dp40,1.2598328945377133,0.0012708895088349966,18.9771,8.72723,mr
biax_tension_mooneyrivlin_dp41,0.12217466574083105,0.0001675808075084062,56.9227,8.1503,mr
biax_tension_mooneyrivlin_dp42,0.4337778722862583,0.0,33.1474,8.57132,mr
biax_tension_mooneyrivlin_dp43,0.09454239089172417,0.0,73.3902,8.60763,mr
biax_tension_mooneyrivlin_dp44,0.06921817515219757,0.0,76.2371,8.16482,mr
biax_tension_mooneyrivlin_dp45,0.23868718739143296,0.0,41.1298,8.21601,mr
biax_tension_mooneyrivlin_dp46,0.5538133753924791,0.0006204266290545565,32.6263,9.05731,mr
biax_tension_mooneyrivlin_dp47,2.2886311515268347,0.0015924066820591721,14.3279,9.21878,mr
biax_tension_mooneyrivlin_dp48,0.11733988534966137,0.00011087850551861516,65.1571,8.57158,mr
biax_tension_mooneyrivlin_dp49,0.5394812067215771,0.00028176868682864615,33.8882,9.16391,mr
biax_tension_mooneyrivlin_dp5,1.05701743047827,0.00011421561107242137,20.6072,8.63785,mr
biax_tension_mooneyrivlin_dp50,0.08177334508951951,0.00015202884535025523,68.8655,8.09975,mr
biax_tension_mooneyrivlin_dp51,0.08082053195036344,8.044676027121523e-06,78.9206,8.58142,mr
biax_tension_mooneyrivlin_dp52,0.32770790730293514,0.0,36.9702,8.42363,mr
biax_tension_mooneyrivlin_dp53,0.06088232896208745,0.0,84.9375,8.32063,mr
biax_tension_mooneyrivlin_dp54,1.3389925174861839,0.0004909260776964438,17.9722,8.65373,mr
biax_tension_mooneyrivlin_dp55,0.07475595757000858,9.342034176623473e-05,80.5858,8.51008,mr
biax_tension_mooneyrivlin_dp56,0.08066685863307918,8.066065326039873e-06,79.347,8.59908,mr
biax_tension_mooneyrivlin_dp57,0.15367993480679296,0.0,62.5031,8.96922,mr
biax_tension_mooneyrivlin_dp58,0.26971762738142047,8.168709975235016e-05,45.1665,8.81794,mr
biax_tension_mooneyrivlin_dp59,0.07748453205957967,3.355582387483921e-05,79.459,8.52533,mr
biax_tension_mooneyrivlin_dp6,1.1797630472641827,0.00035098044383031476,18.6755,8.50624,mr
biax_tension_mooneyrivlin_dp60,0.07261450558877704,0.0,81.3619,8.48869,mr
biax_tension_mooneyrivlin_dp61,0.10401520469749026,0.0,61.985,8.16154,mr
biax_tension_mooneyrivlin_dp62,0.5417529621077891,0.0007196447292960151,30.6,8.73121,mr
biax_tension_mooneyrivlin_dp63,1.4320907994378667,0.001308285728436831,18.7857,9.02621,mr
biax_tension_mooneyrivlin_dp64,1.2146238078822957,0.0006008715013383347,20.8613,9.0441,mr
biax_tension_mooneyrivlin_dp65,0.12279457537410762,0.00010935248140046316,61.674,8.44948,mr
biax_tension_mooneyrivlin_dp66,0.2874016287488914,0.0,40.0118,8.46436,mr
biax_tension_mooneyrivlin_dp67,0.4069765647883342,9.866606509102848e-05,41.8263,9.4364,mr
biax_tension_mooneyrivlin_dp68,0.11686682515361013,0.0,66.0399,8.61568,mr
biax_tension_mooneyrivlin_dp69,0.6901123406600141,6.144013002717765e-06,31.9756,9.5173,mr
biax_tension_mooneyrivlin_dp7,0.8684630594255284,0.00014111384338346826,22.713,8.57755,mr
biax_tension_mooneyrivlin_dp70,0.7674161091774147,0.0006546671530270101,27.014,9.01715,mr
biax_tension_mooneyrivlin_dp71,0.057025506845903476,0.0,91.5672,8.475,mr
biax_tension_mooneyrivlin_dp72,0.14810726469175325,0.0,60.3161,8.73758,mr
biax_tension_mooneyrivlin_dp73,0.07474526542327374,7.458730546286125e-05,82.6142,8.60675,mr
biax_tension_mooneyrivlin_dp74,0.5604860014282748,0.0,27.0196,8.32089,mr
biax_tension_mooneyrivlin_dp75,0.3592445622939356,0.0004786638313747882,36.7133,8.58354,mr
biax_tension_mooneyrivlin_dp76,0.534061586956091,5.774673267622371e-05,37.6808,9.62885,mr
biax_tension_mooneyrivlin_dp77,0.07133483561270165,0.0,78.6138,8.32968,mr
biax_tension_mooneyrivlin_dp78,0.11645788995681809,0.00019671772508759482,63.5839,8.46285,mr
biax_tension_mooneyrivlin_dp79,0.06569280326110571,0.0,83.5997,8.40237,mr
biax_tension_mooneyrivlin_dp8,0.7764330551023881,0.00031916060949838663,24.0567,8.5527,mr
