sample_name,total_curvature,curvature_ratio,final_strain,class
simple_shear_neohookean_dp77,-0.0903616783637676,0.02397708563304091,27.6174,nh
simple_shear_neohookean_dp78,-0.0873298893841945,0.023908093731843043,28.0878,nh
simple_shear_neohookean_dp79,-0.08459033421277691,0.02346822330074528,28.5583,nh
simple_shear_neohookean_dp8,-1.4182333808175904,0.18766674799476898,4.83502,nh
simple_shear_neohookean_dp80,-0.08183997434510148,0.026179931894513467,29.0287,nh
simple_shear_neohookean_dp81,-0.07922093596553534,0.02363337559648072,29.499,nh
simple_shear_neohookean_dp82,-0.0767337130656788,0.0228775135891846,29.9693,nh
simple_shear_neohookean_dp83,-0.07440404723433579,0.023780795748734773,30.4396,nh
simple_shear_neohookean_dp84,-0.07216917401134308,0.02245002633092068,30.91,nh
simple_shear_neohookean_dp85,-0.0700603851612336,0.022135814274736803,31.3803,nh
simple_shear_neohookean_dp86,-0.06797099834821536,0.024056233600448815,31.8506,nh
simple_shear_neohookean_dp87,-0.06598920845747194,0.02273615746789738,32.3208,nh
simple_shear_neohookean_dp88,-0.06412622721468907,0.023060999301109067,32.7912,nh
simple_shear_neohookean_dp89,-0.0624556740245024,0.021104227031679305,33.2613,nh
simple_shear_neohookean_dp9,-1.3333316615208792,0.1871007769889939,5.00765,nh
simple_shear_neohookean_dp90,-0.06074547916965448,0.01923739269658895,33.7316,nh
simple_shear_neohookean_dp91,-0.05896548998504563,0.019428590587681257,34.2013,nh
simple_shear_neohookean_dp92,-0.05739603434066434,0.018577665450768503,34.6715,nh
simple_shear_neohookean_dp93,-0.055856898680455666,0.0185741629039001,35.1416,nh
simple_shear_neohookean_dp94,-0.05440420578598158,0.01873415324413353,35.6118,nh
simple_shear_neohookean_dp95,-0.05298333359148898,0.018370022594837974,36.0819,nh
simple_shear_neohookean_dp96,-0.05164130793376967,0.018878626124552177,36.552,nh
simple_shear_neohookean_dp97,-0.050353679899809184,0.018029858117020126,37.0221,nh
simple_shear_neohookean_dp98,-0.04907704903605533,0.021323843156615577,37.4922,nh
simple_shear_neohookean_dp99,-0.047879124280982725,0.017603945592496104,37.9623,nh
simple_shear_mooneyrivlin2_dp0,-0.03514454892342048,0.3749138243992686,25.9095,mr
simple_shear_mooneyrivlin2_dp1,-0.021529285347931977,0.5072843677896685,28.9417,mr
simple_shear_mooneyrivlin2_dp10,-0.08463692562448161,0.42970304673716087,15.9391,mr
simple_shear_mooneyrivlin2_dp11,-0.027085192127382456,0.590987052895142,23.3955,mr
simple_shear_mooneyrivlin2_dp12,-0.05063457263065743,0.2205524753259988,24.709,mr
simple_shear_mooneyrivlin2_dp13,-0.01613673760541565,0.39971187571239625,37.1465,mr
simple_shear_mooneyrivlin2_dp14,-0.019966580074197167,0.6139772594128028,26.3835,mr
simple_shear_mooneyrivlin2_dp15,-0.08324663228933088,0.41828191072733184,16.2511,mr
simple_shear_mooneyrivlin2_dp16,-0.04128508854361811,0.5628282597869579,19.6767,mr
simple_shear_mooneyrivlin2_dp17,-0.07343359814876046,0.3691535860928011,18.1028,mr
simple_shear_mooneyrivlin2_dp18,-0.0369810909055327,0.2895982166051239,27.1713,mr
simple_shear_mooneyrivlin2_dp19,-0.032423811247451854,0.31273124789604234,28.4416,mr
simple_shear_mooneyrivlin2_dp2,-0.03757107924001545,0.2553764422620528,27.7219,mr
simple_shear_mooneyrivlin2_dp20,-0.03279655062042635,0.5297112852130762,22.9318,mr
simple_shear_mooneyrivlin2_dp21,-0.025209353757814492,0.35198038944213,31.1273,mr
simple_shear_mooneyrivlin2_dp22,-0.04133098878878461,0.23586287665349975,26.8919,mr
simple_shear_mooneyrivlin2_dp23,-0.02637787523766434,0.3666619601240611,30.0569,mr
simple_shear_mooneyrivlin2_dp24,-0.032253071930647484,0.5255889964478793,23.2257,mr
simple_shear_mooneyrivlin2_dp25,-0.04709777368616769,0.3530867689166342,22.8632,mr
simple_shear_mooneyrivlin2_dp26,-0.032115253974558826,0.3541846484246592,27.5852,mr
simple_shear_mooneyrivlin2_dp27,-0.02081516250307722,0.34569378469598583,34.3904,mr
simple_shear_mooneyrivlin2_dp28,-0.01685263999757084,0.4596856679706589,34.3194,mr
simple_shear_mooneyrivlin2_dp29,-0.022834187539049478,0.6716887431566667,22.6759,mr
simple_shear_mooneyrivlin2_dp3,-0.029790237680341614,0.4321302242392705,26.649,mr
simple_shear_mooneyrivlin2_dp30,-0.019315500575945256,0.33894883443622137,35.8915,mr
simple_shear_mooneyrivlin2_dp31,-0.015251656083085468,0.7112086018679263,25.9083,mr
simple_shear_mooneyrivlin2_dp32,-0.04047740917351269,0.2274963848284077,27.3675,mr
simple_shear_mooneyrivlin2_dp33,-0.05098039307806432,0.2018271675749138,25.0766,mr
simple_shear_mooneyrivlin2_dp34,-0.022920795964190516,0.6227960998891062,24.3487,mr
simple_shear_mooneyrivlin2_dp35,-0.026038431103376346,0.5870092177047068,23.9833,mr
simple_shear_mooneyrivlin2_dp36,-0.07547725068891555,0.3622816508341347,17.9636,mr
simple_shear_mooneyrivlin2_dp37,-0.028059868071074964,0.3334897547925913,30.0023,mr
simple_shear_mooneyrivlin2_dp38,-0.022674066832352405,0.3710754709375851,32.2501,mr
simple_shear_mooneyrivlin2_dp39,-0.01734804401916436,0.47675355009501963,33.2443,mr
simple_shear_mooneyrivlin2_dp4,-0.03721006125845388,0.2259476028130559,28.5741,mr
simple_shear_mooneyrivlin2_dp40,-0.022394764075971924,0.44519189609952114,30.2715,mr
simple_shear_mooneyrivlin2_dp41,-0.018330051812381187,0.01672179541480218,60.16,mr
simple_shear_mooneyrivlin2_dp42,-0.023630807325725235,0.15382047900313647,47.6146,mr
simple_shear_mooneyrivlin2_dp43,-0.004478305207861249,0.158099594064186,107.336,mr
simple_shear_mooneyrivlin2_dp44,-0.00998125764791664,0.017008901182985398,81.2666,mr
simple_shear_mooneyrivlin2_dp45,-0.031279375521501535,0.03687481777683113,45.5765,mr
simple_shear_mooneyrivlin2_dp46,-0.01068208005815012,0.3349655666969305,60.6983,mr
simple_shear_mooneyrivlin2_dp47,-0.045932752586884916,0.3785417528888184,28.7146,mr
simple_shear_mooneyrivlin2_dp48,-0.0060836418863421575,0.14576496561864985,93.224,mr
simple_shear_mooneyrivlin2_dp49,-0.008443506885848032,0.3720899694059683,65.9082,mr
simple_shear_mooneyrivlin2_dp5,-0.023539723553117238,0.3884702620909692,31.1613,mr
simple_shear_mooneyrivlin2_dp50,-0.013516637553183723,0.012544691838087882,70.5168,mr
simple_shear_mooneyrivlin2_dp51,-0.004077178077290293,0.14832745870144226,113.47,mr
simple_shear_mooneyrivlin2_dp52,-0.025424605451741415,0.09918073229512815,47.9361,mr
simple_shear_mooneyrivlin2_dp53,-0.0059545744423820995,0.04731509766128944,101.547,mr
simple_shear_mooneyrivlin2_dp54,-0.06987627224620489,0.19528964788873474,27.29,mr
simple_shear_mooneyrivlin2_dp55,-0.004497650854827133,0.11682062544488439,110.54,mr
simple_shear_mooneyrivlin2_dp56,-0.003888852082947838,0.15726703505540499,115.36,mr
simple_shear_mooneyrivlin2_dp57,-0.0032764032178130877,0.3078986964353997,111.158,mr
simple_shear_mooneyrivlin2_dp58,-0.008113818581248527,0.24738940265735063,74.7635,mr
simple_shear_mooneyrivlin2_dp59,-0.004490134501624654,0.12362598856859133,110.13,mr
simple_shear_mooneyrivlin2_dp6,-0.03940276318425156,0.30835870277399824,25.933,mr
simple_shear_mooneyrivlin2_dp60,-0.004596262817683763,0.10978757198307412,109.978,mr
simple_shear_mooneyrivlin2_dp61,-0.015179139376393789,0.01983102171925261,65.9844,mr
simple_shear_mooneyrivlin2_dp62,-0.02070999526265532,0.22114226909158036,48.4553,mr
simple_shear_mooneyrivlin2_dp63,-0.03468887477147775,0.32320569992970843,34.6364,mr
simple_shear_mooneyrivlin2_dp64,-0.027150225042183052,0.3287819756921964,38.7347,mr
simple_shear_mooneyrivlin2_dp65,-0.008657217519624697,0.09867321374812436,81.2528,mr
simple_shear_mooneyrivlin2_dp66,-0.019964278460730057,0.1120970320821604,53.3989,mr
simple_shear_mooneyrivlin2_dp67,-0.0036384096264966055,0.48059720590876964,89.8219,mr
