sample_name,total_curvature,final_strain,class
planar_compression_neohookean_dp95,-0.3560052817431111,-15.0862,nh
planar_compression_neohookean_dp96,-0.34691755305307953,-15.283,nh
planar_compression_neohookean_dp97,-0.3381617977099665,-15.4798,nh
planar_compression_neohookean_dp98,-0.32976108972323737,-15.6767,nh
planar_compression_neohookean_dp99,-0.3216402059973427,-15.8735,nh
planar_compression_mooneyrivlin2_dp0,-0.6551007220712052,-11.1114,mr
planar_compression_mooneyrivlin2_dp1,-0.512162352177432,-12.5718,mr
planar_compression_mooneyrivlin2_dp10,-1.7092703018957673,-6.85735,mr
planar_compression_mooneyrivlin2_dp11,-0.7734130352607871,-10.2225,mr
planar_compression_mooneyrivlin2_dp12,-0.7455252173366713,-10.413,mr
planar_compression_mooneyrivlin2_dp13,-0.3165605792805838,-16.0005,mr
planar_compression_mooneyrivlin2_dp14,-0.6058505661289442,-11.5559,mr
planar_compression_mooneyrivlin2_dp15,-1.648262659359598,-6.98433,mr
planar_compression_mooneyrivlin2_dp16,-1.097921823304373,-8.57168,mr
planar_compression_mooneyrivlin2_dp17,-1.3424213186084186,-7.74626,mr
planar_compression_mooneyrivlin2_dp18,-0.6058505661289442,-11.5559,mr
planar_compression_mooneyrivlin2_dp19,-0.5502693194692001,-12.1273,mr
planar_compression_mooneyrivlin2_dp2,-0.5864450221001353,-11.7464,mr
planar_compression_mooneyrivlin2_dp20,-0.8131631737242054,-9.96855,mr
planar_compression_mooneyrivlin2_dp21,-0.4554615529929104,-13.3337,mr
planar_compression_mooneyrivlin2_dp22,-0.6262693843390025,-11.3654,mr
planar_compression_mooneyrivlin2_dp23,-0.48734655564774215,-12.8893,mr
planar_compression_mooneyrivlin2_dp24,-0.7929152907308168,-10.0955,mr
planar_compression_mooneyrivlin2_dp25,-0.8449939036076757,-9.77807,mr
planar_compression_mooneyrivlin2_dp26,-0.5801696016665818,-11.8099,mr
planar_compression_mooneyrivlin2_dp27,-0.3733699679001076,-14.7306,mr
planar_compression_mooneyrivlin2_dp28,-0.3670391715384565,-14.8576,mr
planar_compression_mooneyrivlin2_dp29,-0.8131631737242054,-9.96855,mr
planar_compression_mooneyrivlin2_dp3,-0.6125479091141952,-11.4924,mr
planar_compression_mooneyrivlin2_dp30,-0.3432019908782175,-15.3655,mr
planar_compression_mooneyrivlin2_dp31,-0.6193496843268481,-11.4289,mr
planar_compression_mooneyrivlin2_dp32,-0.6058505661289442,-11.5559,mr
planar_compression_mooneyrivlin2_dp33,-0.7277525598849184,-10.54,mr
planar_compression_mooneyrivlin2_dp34,-0.710605670635676,-10.667,mr
planar_compression_mooneyrivlin2_dp35,-0.7365429930015494,-10.4765,mr
planar_compression_mooneyrivlin2_dp36,-1.364529644380982,-7.68277,mr
planar_compression_mooneyrivlin2_dp37,-0.4921448603659291,-12.8258,mr
planar_compression_mooneyrivlin2_dp38,-0.4227450104575794,-13.8417,mr
planar_compression_mooneyrivlin2_dp39,-0.38995412501643306,-14.4131,mr
planar_compression_mooneyrivlin2_dp4,-0.5560671812657827,-12.0638,mr
planar_compression_mooneyrivlin2_dp40,-0.4732836091083927,-13.0798,mr
planar_compression_mooneyrivlin2_dp41,-0.1264161417504416,-25.3341,mr
planar_compression_mooneyrivlin2_dp42,-0.1916410114580291,-20.572,mr
planar_compression_mooneyrivlin2_dp43,-0.03717291103204516,-46.7315,mr
planar_compression_mooneyrivlin2_dp44,-0.06904075781077733,-34.2867,mr
planar_compression_mooneyrivlin2_dp45,-0.21909261106162978,-19.2387,mr
planar_compression_mooneyrivlin2_dp46,-0.1114298983103838,-26.9849,mr
planar_compression_mooneyrivlin2_dp47,-0.4970480931093365,-12.7623,mr
planar_compression_mooneyrivlin2_dp48,-0.049621021758024,-40.4456,mr
planar_compression_mooneyrivlin2_dp49,-0.09349727071480463,-29.4612,mr
planar_compression_mooneyrivlin2_dp5,-0.4511591943040518,-13.3972,mr
planar_compression_mooneyrivlin2_dp50,-0.09230226838001278,-29.6517,mr
planar_compression_mooneyrivlin2_dp51,-0.03335432067008781,-49.3348,mr
planar_compression_mooneyrivlin2_dp52,-0.19282367061349684,-20.5085,mr
planar_compression_mooneyrivlin2_dp53,-0.04329077861343616,-43.3029,mr
planar_compression_mooneyrivlin2_dp54,-0.5801696016665818,-11.8099,mr
planar_compression_mooneyrivlin2_dp55,-0.03551310043906855,-47.8109,mr
planar_compression_mooneyrivlin2_dp56,-0.03218427094707366,-50.2237,mr
planar_compression_mooneyrivlin2_dp57,-0.0331830935004075,-49.4618,mr
planar_compression_mooneyrivlin2_dp58,-0.07502824137941498,-32.8899,mr
planar_compression_mooneyrivlin2_dp59,-0.03570321512099168,-47.684,mr
planar_compression_mooneyrivlin2_dp6,-0.6625837916543295,-11.0479,mr
planar_compression_mooneyrivlin2_dp60,-0.03598970435441813,-47.4935,mr
planar_compression_mooneyrivlin2_dp61,-0.10491718583137645,-27.8103,mr
planar_compression_mooneyrivlin2_dp62,-0.18143014193599133,-21.1435,mr
planar_compression_mooneyrivlin2_dp63,-0.3460548663994688,-15.302,mr
planar_compression_mooneyrivlin2_dp64,-0.2758272322521887,-17.1434,mr
planar_compression_mooneyrivlin2_dp65,-0.066554691064489,-34.9217,mr
planar_compression_mooneyrivlin2_dp66,-0.1544063844516486,-22.9213,mr
planar_compression_mooneyrivlin2_dp67,-0.04900390389759786,-40.6996,mr
planar_compression_mooneyrivlin2_dp68,-0.04539562456007347,-42.287,mr
planar_compression_mooneyrivlin2_dp69,-0.07893644084689248,-32.0644,mr
planar_compression_mooneyrivlin2_dp7,-0.4040287210407975,-14.1591,mr
planar_compression_mooneyrivlin2_dp70,-0.16904750570417437,-21.9054,mr
planar_compression_mooneyrivlin2_dp71,-0.029020761200092553,-52.8905,mr
planar_compression_mooneyrivlin2_dp72,-0.04636433292072396,-41.8425,mr
planar_compression_mooneyrivlin2_dp73,-0.029372437184703514,-52.573,mr
planar_compression_mooneyrivlin2_dp74,-0.4266414807639939,-13.7782,mr
planar_compression_mooneyrivlin2_dp75,-0.1535526457875931,-22.9848,mr
planar_compression_mooneyrivlin2_dp76,-0.05254884615639758,-39.3028,mr
planar_compression_mooneyrivlin2_dp77,-0.04977775659731545,-40.3822,mr
planar_compression_mooneyrivlin2_dp78,-0.0613205084903866,-36.382,mr
planar_compression_mooneyrivlin2_dp79,-0.03905907224025989,-45.5887,mr
planar_compression_mooneyrivlin2_dp8,-0.3733699679001076,-14.7306,mr
planar_compression_mooneyrivlin2_dp80,-0.18474289927001847,-20.953,mr
planar_compression_mooneyrivlin2_dp81,-0.09073832502765151,-29.9056,mr
planar_compression_mooneyrivlin2_dp82,-0.03422921634689585,-48.6999,mr
planar_compression_mooneyrivlin2_dp83,-0.14010065403729233,-24.0642,mr
planar_compression_mooneyrivlin2_dp84,-0.03326838480159462,-49.3983,mr
planar_compression_mooneyrivlin2_dp85,-0.7639651787031783,-10.286,mr
planar_compression_mooneyrivlin2_dp86,-0.10835274462753458,-27.3659,mr
planar_compression_mooneyrivlin2_dp87,-0.04824957271798513,-41.0171,mr
planar_compression_mooneyrivlin2_dp88,-0.2220109763651375,-19.1117,mr
planar_compression_mooneyrivlin2_dp89,-0.032594436181459435,-49.9062,mr
planar_compression_mooneyrivlin2_dp9,-0.8235697514579488,-9.90506,mr
planar_compression_mooneyrivlin2_dp90,-0.023586935057506787,-58.6684,mr
planar_compression_mooneyrivlin2_dp91,-0.10936599309905713,-27.2389,mr
planar_compression_mooneyrivlin2_dp92,-0.0478038417319176,-41.2076,mr
planar_compression_mooneyrivlin2_dp93,-0.07801003990133967,-32.2549,mr
planar_compression_mooneyrivlin2_dp94,-0.16806452277370768,-21.9689,mr
planar_compression_mooneyrivlin2_dp95,-0.03747776251868613,-46.5411,mr
planar_compression_mooneyrivlin2_dp96,-0.053581510154148825,-38.9218,mr
planar_compression_mooneyrivlin2_dp97,-0.12269965652761329,-25.715,mr
planar_compression_mooneyrivlin2_dp98,-0.024696305448801758,-57.335,mr
planar_compression_mooneyrivlin2_dp99,-0.07388186848032265,-33.1438,mr
planar_compression_ogden_dp0,-0.8278339740577507,-15.9389,og
planar_compression_ogden_dp1,-0.5460460865940335,-14.6435,og
planar_compression_ogden_dp10,-2.3598173898124415,-34.4209,og
planar_compression_ogden_dp100,-0.08562895805738358,-88.5071,og
planar_compression_ogden_dp101,-0.12044602960795003,-51.5594,og
planar_compression_ogden_dp102,-0.07852535570673753,-116.003,og
planar_compression_ogden_dp103,-0.17094870989449243,-36.8513,og
planar_compression_ogden_dp104,-0.8239848532936385,-45.9404,og
planar_compression_ogden_dp105,-0.2387107006602828,-82.8122,og
planar_compression_ogden_dp106,-0.5379168476118175,-26.1161,og
planar_compression_ogden_dp107,-0.1858721410048021,-132.508,og
planar_compression_ogden_dp108,-2.196678366573753,-14.3874,og
planar_compression_ogden_dp109,-0.3942828922679393,-16.0384,og
planar_compression_ogden_dp11,-0.4524819510326152,-34.5653,og
planar_compression_ogden_dp110,-0.15469350999990755,-40.954,og
planar_compression_ogden_dp111,-1.1744693481606492,-11.1205,og
planar_compression_ogden_dp112,-0.2378777083580538,-87.9967,og
planar_compression_ogden_dp113,-0.15265653325538106,-100.977,og
planar_compression_ogden_dp114,-0.7467910710914912,-56.7964,og
